input,output
Senate hearing examining national security and economic risks posed by large-scale foreign investment in sensitive American technology companies.,Hearing
Congressional panel on the current threats to child safety online and the adequacy of federal laws protecting minors from digital exploitation.,Hearing
session regarding reviewing the status and pace of the United States national energy transition toward renewable and zero-carbon power sources.,Hearing
supervision meeting concerning the Bureau of Land Management's stewardship policies for livestock grazing oil and gas leasing and conservation.,Hearing
session to examine the existing and proposed regulatory frameworks governing cryptocurrencies digital tokens and decentralized finance platforms.,Hearing
Congressional proceedings on addressing the serious gaps in mental health treatment capacity and support services for military veterans nationwide.,Hearing
meeting concerning the supervision of Department of Education federal student aid origination servicing and income-driven repayment program management.,Hearing
Senate meeting concerning examining the use of no-knock warrants by federal agents and the legal framework governing their authorization.,Hearing
session regarding the appropriate role of the Federal Reserve in using monetary policy tools to address income inequality and economic disparities.,Hearing
Congressional panel on the impacts of hospital consolidation and health system mergers on patient access to care and pricing.,Hearing
scrutiny meeting concerning the administration distribution review and accountability for funds distributed under the CARES Act pandemic relief program.,Hearing
meeting to examine structural and procedural barriers to voting access and registration affecting participation in federal elections.,Hearing
Senate meeting concerning reviewing United States defense commitments burden-sharing and strategic cooperation with NATO and allied partners.,Hearing
proceedings on the supervision of federally funded research and development laboratories and their management of classified and dual-use technologies.,Hearing
Congressional panel on federal interagency coordination and funding strategies to address the growing crisis of urban and rural homelessness.,Hearing
session regarding the effectiveness of federal law enforcement strategies and interagency cooperation in combating domestic human trafficking networks.,Hearing
monitoring panel on the Consumer Financial Protection Bureau's rulemaking enforcement priorities and its jurisdiction over financial products.,Hearing
session to examine the adequacy and effectiveness of the United States diplomatic and humanitarian response to international refugee crises.,Hearing
Senate panel on the competitive practices pricing transparency and labor standards of major carriers in the domestic airline industry.,Hearing
Congressional panel on needed reforms to the federal Social Security Disability Insurance and Supplemental Security Income programs.,Hearing
panel on assessing the security integrity and auditability of federal and state electronic voting systems and election administration infrastructure.,Hearing
review panel on the implementation outcomes and veteran satisfaction with the Veterans Community Care and Veterans Choice Programs.,Hearing
meeting to examine the local economic and social effects of aggressive federal immigration enforcement actions in immigrant communities.,Hearing
Congressional session regarding federal state and private sector strategies to address the severe shortage of affordable licensed childcare options.,Hearing
Senate panel on the scrutiny accountability and independence of the Federal Bureau of Investigation and the Department of Justice.,Hearing
panel on the review and strategic allocation of federal funding for research into pandemic prevention and emerging infectious disease threats.,Hearing
panel to examine the economic strategic and national security dimensions of the domestic shipbuilding and maritime defense industry.,Hearing
Congressional panel on the proliferation reach and regulatory gaps associated with direct-to-consumer pharmaceutical advertising.,Hearing
supervision panel on the risk management loan quality and financial performance of the Federal Housing Administration insurance program.,Hearing
proceedings on the vulnerabilities cyber threats and best practices for protecting small businesses from ransomware and data breach attacks.,Hearing
Senate panel on the projected long-term fiscal solvency challenges facing the Social Security and Medicare trust funds.,Hearing
Congressional session regarding comprehensive reform options for the federal parole probation and supervised release system.,Hearing
session to examine the accuracy completeness and accountability mechanisms of criminal justice databases maintained by federal law enforcement agencies.,Hearing
review session regarding the operations performance and customer service standards of U.S. Citizenship and Immigration Services.,Hearing
proceedings on developing a comprehensive federal strategy to address the public health crisis of childhood and adolescent obesity.,Hearing
Senate session regarding examining the scope use and constitutional limitations of federal eminent domain authority in major infrastructure projects.,Hearing
Congressional panel on improving the digital accessibility of federal government websites and online services for elderly and disabled users.,Hearing
proceedings on the monitoring effectiveness and strategic alignment of U.S. foreign assistance programs with national development and security goals.,Hearing
scrutiny session regarding the management coordination and resource adequacy of federal wildfire response operations in western states.,Hearing
meeting to examine the effect of private equity firm acquisitions on the financial stability and quality of care in rural hospitals.,Hearing
Congressional proceedings on the labor market employment and wage effects of raising the federal minimum wage in regional economies.,Hearing
Senate panel on the development deployment monitoring and arms control implications of autonomous weapons systems in modern warfare.,Hearing
session regarding evaluating existing and proposed federal statutory frameworks for protecting journalists and press freedom from government interference.,Hearing
review panel on the actuarial soundness rate-setting practices and claims management of the federal crop insurance program.,Hearing
Congressional meeting concerning improving federal state and local coordination for more effective and equitable disaster preparedness and response.,Hearing
review of the effectiveness and return on investment of federal job training retraining and workforce development programs for displaced workers.,Report
yearly document on the overall cybersecurity posture vulnerability trends and incident response performance across all major federal agencies.,Report
Report assessing the federal government's preparedness response and long-term recovery efforts related to the COVID-19 public health emergency.,Report
year-end document on the actuarial status long-term solvency projections and benefit adequacy of the Social Security Old-Age Trust Fund.,Report
Report examining the extent and causes of racial and ethnic disparities throughout the federal criminal justice and prison systems.,Report
Inspector General document on the investigation of fraud waste abuse and mismanagement identified within federal Medicare and Medicaid programs.,Report
assessment of measuring the progress and outcomes of the federal government's investment in utility-scale renewable energy transition programs.,Report
year-end analysis of the status pace and remaining gaps in broadband internet deployment and adoption across rural and tribal communities.,Report
Report evaluating the environmental outcomes and deterrence effectiveness of federal enforcement actions against major Clean Water Act violators.,Report
Congressional Budget Office report analyzing the long-term fiscal sustainability of the federal government's current spending and revenue trajectory.,Report
assessment of the scope of homelessness across the United States and the performance of federal McKinney-Vento homeless assistance programs.,Report
year-end review of the strategic deployment results and development outcomes of U.S. bilateral and multilateral foreign aid expenditures.,Report
An act to to enhance border security with advanced technology.,Bill
To provide student loan forgiveness for public service workers.,Bill
An act to to promote domestic manufacturing and reduce reliance on imports.,Bill
Legislation to expand broadband internet access in rural areas.,Bill
An act to to strengthen labor unions and worker protections.,Bill
document on federal agency compliance assessments and implementation progress under the Federal Information Security Modernization Act standards.,Report
Inspector General assessment of management deficiencies leadership failures and systemic problems uncovered at the Department of Veterans Affairs.,Report
Report assessing the impact of federal low-income housing tax credit programs and vouchers on the supply of affordable rental housing.,Report
periodic analysis of the program effectiveness acquisition management and financial performance of all major Department of Defense programs.,Report
review of the projected economic costs social disruptions and infrastructure risks associated with climate change impacts in the United States.,Report
Government Accountability Office review of the monitoring of sole-source and non-competitive federal contract awards and their compliance with procurement regulations.,Report
Report evaluating the environmental compliance safety records and long-term strategy for nuclear waste storage and repository development.,Report
periodic assessment of trends in health insurance coverage costs access to care and quality outcomes across the United States healthcare system.,Report
analysis of measuring progress and identifying implementation gaps in federally funded highway bridge transit and waterway infrastructure programs.,Report
Inspector General analysis of the misuse of government travel lodging conference and entertainment funds across federal executive agencies.,Report
Report examining the reach adequacy and outcomes of major federal programs designed to reduce poverty and increase economic mobility.,Report
yearly assessment of visitor trends resource conditions ecosystem health and management challenges in national parks and public lands.,Report
Report assessing the implementation status borrower outcomes and program integrity of the federal Public Service Loan Forgiveness program.,Report
Government Accountability Office assessment of cost overruns schedule slippages and performance shortfalls in major federal information technology modernization projects.,Report
Report evaluating the reach treatment quality and long-term recovery outcomes of federal grants addressing the opioid and drug addiction epidemic.,Report
fiscal-year review of diversity equity and inclusion metrics representation and promotion rates across the federal civilian workforce.,Report
assessment of the long-term projected costs benefit adequacy and financing shortfalls of the Medicare Hospital Insurance and Supplementary programs.,Report
Inspector General assessment of irregular and potentially fraudulent procurement transactions identified at the Department of Energy.,Report
analysis of the resource adequacy technology deployment and effectiveness of operations at U.S. ports of entry and border crossings.,Report
fiscal-year document on the allocation priorities outcomes and scientific productivity of federal agency research and development investments.,Report
Report assessing the nutritional adequacy household participation rates and economic multiplier effects of the SNAP food assistance program.,Report
Government Accountability Office document on the governance financial management and actuarial soundness of the National Flood Insurance Program's claims reserves.,Report
analysis of the security resilience and integrity of election administration systems infrastructure and processes across all fifty states.,Report
fiscal-year review of federal agency enforcement actions investigations and compliance outcomes under the Americans with Disabilities Act.,Report
Report evaluating the academic achievement outcomes financial performance and regulatory compliance of federally funded charter schools.,Report
Inspector General assessment of grant management deficiencies inappropriate expenditures and review failures at the Department of Education.,Report
analysis of the disproportionate burden of environmental pollution and regulatory non-enforcement in low-income communities and communities of color.,Report
GAO assessment on the review financial management and strategic reserve adequacy of the federal Strategic Petroleum Reserve system.,Report
year-end analysis of the economic growth employment creation and development outcomes of federal bilateral and multilateral trade agreements.,Report
Report assessing the effectiveness coordination and resource adequacy of federal and state programs to combat domestic terrorism threats.,Report
Inspector General assessment of improper payments erroneous disbursements and eligibility verification failures in federal entitlement benefit programs.,Report
analysis of the current state of the U.S. labor market wage growth workforce participation rates and structural unemployment trends.,Report
yearly document on the performance of federal highway bridge transit and safety programs under the Surface Transportation Authorization Act.,Report
Report evaluating the educational quality child development outcomes and federal compliance of Head Start and Early Head Start programs.,Report
Government Accountability Office document on the cost management schedule performance and technical progress of federal satellite launch and space acquisition contracts.,Report
assessment of the current status of water quality contamination levels and infrastructure needs in U.S. rivers lakes streams and groundwater.,Report
Inspector General document on security vulnerabilities unauthorized access incidents and data breach risks in federal agency IT infrastructure.,Report
Report assessing the Environmental Protection Agency's implementation and enforcement of Clean Air Act standards and emission reduction targets.,Report
yearly review of federal agency performance results resource utilization and goal achievement under the Government Performance and Results Act.,Report
assessment of the consumer economic burden and distributional impacts of federal tariff policies across income groups and industry sectors.,Report
Government Accountability Office review of the scrutiny of inmate housing classification programming access and conditions in the federal Bureau of Prisons system.,Report
Report evaluating the enforcement priorities case processing times and operational efficiency of federal immigration courts and agencies.,Report
fiscal-year assessment of transportation safety statistics enforcement actions and accident investigation outcomes across all transportation modes.,Report
review of systemic barriers that prevent elderly disabled and non-English-speaking Americans from accessing federal benefits and services.,Report
Inspector General assessment of financial management internal controls and accounting deficiencies at the Department of Housing and Urban Development.,Report
Report assessing the effectiveness of federally funded programs in reducing rates of domestic violence sexual assault and trafficking.,Report
watchdog document on the coordination resource allocation and performance of federal wildland fire detection suppression and recovery operations.,Report
assessment of federal agency-by-agency progress in meeting greenhouse gas reduction sustainability and energy efficiency improvement targets.,Report
fiscal-year analysis of the activities programs budget performance and threat assessments of the U.S. Intelligence Community.,Report
Report evaluating employment retention wage gains and career advancement outcomes of federally supported workforce retraining programs.,Report
Inspector General assessment of unauthorized system access incidents and data security vulnerabilities at major federal government data centers.,Report
assessment of the economic compliance and competitiveness effects of federal environmental regulatory requirements on small and mid-sized businesses.,Report
watchdog analysis of the monitoring of billing accuracy cost documentation and fraud indicators in major defense contractor invoicing practices.,Report
periodic analysis of economic development land use governance and federal program access challenges facing federally recognized tribal nations.,Report
Report evaluating the effectiveness of federally funded gang violence prevention intervention and community outreach programs in urban areas.,Report
review of the impacts of offshore oil and gas production regulations on domestic energy prices supply reliability and environmental protection.,Report
Inspector General document on mismanagement irregular expenditures and accountability failures in the distribution of federal disaster relief funds.,Report
GAO assessment on the adequacy of language access services for non-English speaking individuals seeking federal government services and benefits.,Report
fiscal-year document on the financial performance service quality mail volume trends and infrastructure needs of the United States Postal Service.,Report
Report assessing the reach effectiveness and outcomes of federally funded small business development and entrepreneurship support programs.,Report
review of the workforce pipeline projected shortage and federal program responses to the growing healthcare worker and nursing shortage crisis.,Report
watchdog analysis of the monitoring of federal grant programs benefiting tribal communities and the adequacy of tribal consultation processes.,Report
yearly document on cyber threat trends intrusion incidents and the overall cybersecurity readiness posture of the federal government.,Report
Cabinet order establishing a new federal initiative to reduce administrative burdens and improve customer service across all federal benefit programs.,Executive Order
Presidential directive directing all federal departments and agencies to publish annual transparency reports on their use of surveillance and data collection technologies.,Executive Order
analysis of the projected fiscal impact of extending major provisions of the Tax Cuts and Jobs Act on the federal deficit and income distribution.,Report
periodic assessment of the health outcomes quality metrics and cost efficiency of federally qualified health centers serving low-income communities.,Report
GAO assessment on the management transparency and program effectiveness of federally chartered development finance institutions.,Report
Report evaluating the effectiveness of federal programs designed to reduce childhood poverty and improve economic opportunity for low-income families.,Report
Inspector General assessment of the management of sensitive classified information and document handling procedures across the intelligence community.,Report
periodic analysis of the implementation of federal clean energy standards and the progress of state compliance with renewable portfolio requirements.,Report
Report assessing the strategic economic and public health benefits of the federal government's investment in biomedical and pharmaceutical research.,Report
Government Accountability Office document on the adequacy of federal regulations governing the safety inspection and certification of commercial aviation maintenance providers.,Report
Report evaluating the scope reach and outcomes of federally supported programs providing legal services to low-income individuals and families.,Report
yearly assessment of the performance of federal student financial aid programs including Pell Grants work-study and subsidized loan utilization.,Report
review of the economic and public health impacts of federal food safety regulations on producers distributors and consumers nationwide.,Report
Inspector General review of travel expense and ethics violations by senior officials at the Department of Health and Human Services.,Report
Report examining the pace and effectiveness of the federal government's transition to clean energy in its own operations and facilities.,Report
watchdog review of the management of federal funds allocated for mental health and substance abuse treatment programs at the state level.,Report
periodic review of compliance and outcomes of federal agencies implementing the Equal Credit Opportunity Act and Fair Housing Act.,Report
assessment of the adequacy transparency and competitiveness of the federal procurement system for major defense and civilian acquisitions.,Report
Inspector General document on contractor performance documentation quality and accountability in federally funded public housing construction projects.,Report
Report evaluating the strategic alignment resource utilization and measurable impact of federal international development assistance programs.,Report
watchdog assessment of the review of federal agency compliance with the Antideficiency Act and proper appropriations management.,Report
periodic review of the performance of federally insured financial institutions and the health of the deposit insurance fund.,Report
document on the economic demographic and labor market outcomes for immigrants and their families following naturalization and permanent residency.,Report
Inspector General analysis of the management of federal pandemic relief funds distributed through the Small Business Administration programs.,Report
Report assessing the outcomes of competitive federally funded grants for K-12 education innovation and school improvement initiatives.,Report
Government Accountability Office review of the financial management practices and programmatic performance of federal community development financial institution programs.,Report
year-end analysis of federal enforcement of occupational safety and health standards and outcomes of workplace inspection programs nationwide.,Report
Presidential directive directing all federal civilian agencies to assess identify and remediate critical cybersecurity vulnerabilities in their legacy systems.,Executive Order
Presidential directive establishing a new national strategy for rebuilding and strengthening the United States domestic medical supply chain.,Executive Order
Order by the President establishing a new federal initiative to dramatically accelerate the adoption of solar energy across government-owned buildings.,Executive Order
ive order directing all federal agencies to develop and publish comprehensive transition plans for eliminating fossil fuel use in operations.,Executive Order
A proposed law to to establish a federal program providing emergency financial assistance to small businesses affected by declared major disasters.,Bill
Legislation to strengthen federal protections against the use of non-compete agreements that restrict workers from changing jobs.,Bill
An act to to create a federal matched savings account program helping low-income families build emergency savings and financial security.,Bill
To establish a national commission on the future of democracy charged with recommending reforms to strengthen civic institutions.,Bill
Legislation to to authorize the construction of a National Museum of American Democracy on the National Mall in Washington D.C.,Bill
Legislation to establish a federal grant program funding community health worker programs in medically underserved rural areas.,Bill
Draft law to to require publicly funded universities receiving federal research grants to make their findings openly accessible to the public.,Bill
To expand the federal Low-Income Home Energy Assistance Program to cover costs related to extreme heat and cooling in summer.,Bill
An act to to reform federal policies governing solitary confinement in federal detention facilities and immigration holding centers.,Bill
Presidential directive directing all federal agencies to expand outreach efforts to enroll all eligible individuals in federal benefit and assistance programs.,Executive Order
Order by the President creating a new national strategy for combating the abuse and trafficking of synthetic opioids and other dangerous drug substances.,Executive Order
White House order directing federal agencies to prioritize equitable distribution of infrastructure investments in historically underserved communities.,Executive Order
Order by the President establishing a new White House initiative to modernize federal data collection and statistical reporting across all agencies.,Executive Order
Order by the President directing the Department of Labor to issue new regulations protecting workers from excessive heat in outdoor and indoor workplaces.,Executive Order
Presidential directive creating a new federal strategy for addressing the national shortage of affordable and accessible mental health care providers.,Executive Order
egislation to establish a federal program providing interest-free business loans to women-owned and minority-owned enterprises.,Bill
Legislation to to require federal agencies to evaluate and reduce the digital accessibility barriers in their online public services.,Bill
To fund a federal initiative to plant one billion trees on public and private lands to address carbon sequestration needs.,Bill
Legislation to to establish a national strategy for responsible sourcing of critical minerals used in electric vehicle batteries and clean technology.,Bill
Legislation to comprehensively reform the federal unemployment insurance system to improve access adequacy and speed of benefits.,Bill
An act to to strengthen federal review and financial accountability requirements for charter management organizations.,Bill
To authorize a federal initiative investing in community-based violence interruption programs in high-crime urban neighborhoods.,Bill
Draft law to to require employers to provide workers with at least two weeks advance notice of scheduling changes or pay a premium.,Bill
Legislation to establish federal standards for the ethical development testing and deployment of autonomous weapons systems.,Bill
Draft law to to create a national maternal health task force to develop a comprehensive strategy for reducing maternal mortality nationwide.,Bill
To authorize federal investment in a national network of public electric vehicle charging stations at federally owned facilities.,Bill
Legislation to to reform and strengthen federal civil rights enforcement at the Department of Justice and Equal Employment Opportunity Commission.,Bill
Legislation to expand federal funding for legal aid organizations providing immigration representation to unaccompanied minors.,Bill
Legislation to to establish a federal program supporting the development of community land trusts as a tool to preserve long-term housing affordability.,Bill
To create a federal commission to study and recommend reforms to the nation's outdated and inequitable federal tax code.,Bill
An act to to require federal agencies to conduct and publicly report artificial intelligence bias audits before deploying new automated systems.,Bill
panel on the implementation challenges and early outcomes of the Inflation Reduction Act's clean energy and climate provisions.,Hearing
Senate session to examine the use and review of special purpose acquisition companies in the U.S. capital markets.,Hearing
proceedings on the federal response to the growing shortage of affordable childcare options facing working families nationwide.,Hearing
Congressional session regarding the transparency governance and policy accountability of federal independent regulatory agencies.,Hearing
scrutiny session regarding the Department of Justice's enforcement of federal civil rights laws against state and local governments.,Hearing
panel to examine the adequacy and transparency of the federal government's biological and pandemic threat surveillance systems.,Hearing
Senate meeting concerning the operations funding and investigative scrutiny of U.S. Customs and Border Protection activities.,Hearing
Congressional proceedings on the economic impacts of insurance market consolidation on consumers businesses and healthcare providers.,Hearing
proceedings to examine the monitoring of federal contractor data handling practices and cloud computing security arrangements.,Hearing
supervision panel on the management and effectiveness of the Department of Housing and Urban Development rental assistance programs.,Hearing
proceedings on the review of the Commodity Futures Trading Commission's regulation of derivatives and commodity markets.,Hearing
Senate meeting concerning improving the federal government's hiring pipeline to attract and retain top scientific and technical talent.,Hearing
Congressional meeting concerning the national strategy for countering ransomware attacks targeting public and private sector institutions.,Hearing
proceedings to examine the economic and ecological consequences of the invasive species crisis affecting U.S. farmland and waterways.,Hearing
supervision proceedings on the Department of Agriculture's administration of rural development programs and farm loan guarantees.,Hearing
proceedings on the effectiveness of federal substance abuse prevention treatment and recovery support grant programs.,Hearing
Senate session regarding the federal government's strategy for addressing the growing national shortage of affordable senior housing.,Hearing
Congressional session regarding the operations and privacy implications of facial recognition systems used at U.S. ports of entry.,Hearing
meeting to examine the adequacy of federal regulations governing the safety and environmental impact of lithium mining operations.,Hearing
supervision panel on the Department of the Interior's management of offshore wind energy leasing and permitting processes.,Hearing
meeting concerning the national security and economic risks of dependence on foreign-produced rare earth and critical minerals.,Hearing
Senate panel on the federal response to the mental health workforce shortage in rural and underserved communities.,Hearing
Congressional panel on the adequacy and equity of federal disaster mitigation and pre-disaster hazard reduction investments.,Hearing
panel to examine the monitoring of federally funded research on artificial intelligence safety alignment and risk mitigation.,Hearing
monitoring proceedings on the administration of the federal school nutrition and free and reduced-price meal programs.,Hearing
Report examining the demographic patterns economic consequences and public safety outcomes of federal immigration enforcement actions.,Report
periodic assessment of the performance management and client outcomes of federally funded homeless shelter and rapid rehousing programs.,Report
Inspector General document on conflicts of interest ethics violations and improper procurement at the Department of Interior.,Report
Government Accountability Office analysis of the supervision and adequacy of environmental review processes for major federal infrastructure projects.,Report
Report assessing the long-term effects of childhood poverty on educational attainment health outcomes and economic mobility.,Report
yearly document on the operations program outcomes and financial management of the Small Business Administration's loan programs.,Report
Report evaluating the accessibility adequacy and equity of federal transportation infrastructure investments across racial and income groups.,Report
Inspector General analysis of data integrity violations and improper data sharing practices at the Social Security Administration.,Report
Government Accountability Office assessment of the performance of federal programs tasked with preventing and responding to domestic terrorist incidents.,Report
fiscal-year assessment of the health quality outcomes and regulatory compliance of long-term care and nursing home facilities.,Report
review of the economic and social outcomes for participants in federally funded community college job training programs.,Report
Inspector General assessment of procurement irregularities and contract management failures at the Department of Transportation.,Report
Report assessing the progress of federal and state governments in achieving clean air quality standards under the Clean Air Act.,Report
audit review of the scrutiny and sustainability of federal pension and retirement programs for military and civilian employees.,Report
yearly analysis of the number scope and outcomes of federal civil rights investigations filed with federal enforcement agencies.,Report
Report examining the scope adequacy and long-term fiscal impact of federal programs addressing food insecurity and nutrition.,Report
Inspector General assessment of misuse of federal grant funds and inadequate monitoring at the Department of Commerce programs.,Report
Report evaluating the economic benefits costs and national security implications of expanding the H-2B seasonal worker visa program.,Report
watchdog assessment of the management of federal lands used for renewable energy projects including solar wind and geothermal development.,Report
fiscal-year review of compliance and outcomes of the federal government's anti-money laundering and financial crimes enforcement programs.,Report
assessment of the effectiveness of federal programs supporting the economic and workforce integration of recently arrived refugees.,Report
Inspector General document on management failures and patient safety issues at federal Bureau of Prisons healthcare facilities.,Report
Report assessing the efficacy and equity of federal school improvement and accountability programs under the Every Student Succeeds Act.,Report
GAO assessment on the monitoring of federal agency compliance with federal records retention and freedom of information requirements.,Report
fiscal-year document on federal enforcement of consumer product safety standards and recalls of hazardous products from the marketplace.,Report
a bill to overhaul federal student visa processing and reduce application backlogs at consulates worldwide.,Bill
Proposed legislation directing the Treasury to create a matched savings incentive for first-generation homebuyers in low-wealth communities.,Bill
A congressional measure to sunset outdated federal regulations that impose unnecessary compliance costs on community hospitals.,Bill
Legislative proposal to require commercial landlords receiving federal subsidies to cap annual rent increases at inflation rates.,Bill
draft legislation directing the Labor Department to classify misclassified independent contractors in digital platforms as employees.,Bill
Proposed legislation to establish a federal reinsurance mechanism reducing premium volatility in the individual health insurance market.,Bill
A congressional measure requiring the disclosure of foreign ownership stakes in all U.S. media outlets above five percent.,Bill
Legislative proposal to codify the right to contraception access as a federal statutory protection for all Americans.,Bill
a piece of legislation to fund demonstration projects testing new models of community-based long-term care for aging Americans.,Bill
Proposed legislation creating a federal certification standard for companies offering voluntary carbon offset and credits.,Bill
A congressional measure to expand the federal research and development tax credit for clean manufacturing processes.,Bill
Legislative proposal authorizing the creation of a national strategic reserve for critical prescription drugs and medical supplies.,Bill
a proposal directing federal agencies to transition all vehicle fleets to zero-emission models by a defined statutory deadline.,Bill
Proposed legislation to establish portable retirement savings accounts that workers retain when changing employers.,Bill
A congressional measure requiring large technology firms to submit annual algorithmic transparency reports to Congress.,Bill
Legislative proposal to expand the geographic scope of federal opportunity zone tax incentives to additional underserved regions.,Bill
a bill creating a federal fund to support local journalism and community news organizations in media deserts.,Bill
Proposed legislation mandating comprehensive trauma-informed care training for all personnel in federally funded juvenile detention facilities.,Bill
A congressional measure to establish criminal penalties for corporations that knowingly conceal environmental contamination from regulators.,Bill
Legislative proposal to authorize competitive grants helping mid-sized cities build resilience plans against climate-driven flooding events.,Bill
a piece of legislation requiring the federal government to conduct a full audit of its existing subsidies for fossil fuel production.,Bill
Proposed legislation to lower the eligibility threshold for the federal Children's Health Insurance Program in all states.,Bill
A congressional measure directing the FTC to issue rules banning deceptive subscription cancellation practices by online services.,Bill
Legislative proposal to double the federal Pell Grant maximum award for students attending community colleges and vocational schools.,Bill
a piece of legislation to create an independent federal ombudsman office to handle complaints from recipients of government benefit programs.,Bill
Proposed legislation authorizing a federal prize competition to accelerate domestic production of next-generation solid-state batteries.,Bill
A congressional measure to require major food manufacturers to disclose ultra-processed ingredient thresholds on product labels.,Bill
Legislative proposal establishing minimum federal standards for the treatment of individuals held in solitary confinement.,Bill
a proposal creating financial penalties for employers who fail to pay final wages to terminated workers within a statutory deadline.,Bill
Proposed legislation directing the FCC to restore net neutrality rules protecting open and equal access to internet services.,Bill
A congressional measure requiring publicly traded companies to obtain shareholder approval before pursuing corporate stock buybacks.,Bill
Legislative proposal to fund a national campaign educating the public on the harms of commercial tobacco and nicotine products.,Bill
a bill authorizing emergency relief payments to agricultural producers affected by extreme weather and climate-related crop losses.,Bill
Proposed legislation requiring background checks and safety training for all purchasers of 3D-printed and unserialized firearms.,Bill
A congressional measure to invest in the expansion of public defender offices in jurisdictions with critical attorney shortages.,Bill
Legislative proposal establishing a federal standard requiring employers to accommodate remote work for eligible caregiving employees.,Bill
a bill directing the Defense Department to eliminate single-use plastics from all military bases and installations by statute.,Bill
Proposed legislation creating a federal grant fund to help states modernize their unemployment insurance technology infrastructure.,Bill
A congressional measure requiring airlines operating in the U.S. to meet minimum standards for passenger seat dimensions.,Bill
Legislative proposal to create a federal bonding program helping formerly incarcerated individuals secure employment after release.,Bill
a piece of legislation establishing a national weather forecasting infrastructure improvement fund for rural and tribal areas.,Bill
Proposed legislation to cap credit card interest rates and eliminate certain penalty fee structures for consumer accounts.,Bill
A congressional measure directing the Agriculture Department to increase support for urban composting and organic waste reduction.,Bill
Legislative proposal to establish a federal bureau dedicated to coordinating suicide prevention outreach and crisis response programs.,Bill
a piece of legislation creating a new federal loan forgiveness pathway for healthcare workers serving in rural and medically underserved areas.,Bill
Proposed legislation requiring federal pension funds to disclose and consider climate-related financial risk in their portfolios.,Bill
A congressional measure to create a national strategy for reducing lead exposure in school drinking water systems.,Bill
Legislative proposal authorizing federal investment in coastal restoration and living shoreline projects to reduce storm surge damage.,Bill
a proposal requiring all federal agencies to publish machine-readable datasets on contractor performance and payment histories.,Bill
Proposed legislation to establish a federal standard for paid bereavement leave covering pregnancy loss and stillbirth.,Bill
Examination of the growing backlog in veterans disability claims and the impact on financial security for injured service members.,Hearing
Senate inquiry into the use of non-compete clauses and their suppression of worker mobility across American industries.,Hearing
Congressional review of federal agency compliance with the Freedom of Information Act and transparency obligations.,Hearing
Examination of the effectiveness of federal programs addressing food insecurity among college and university students.,Hearing
Senate inquiry into the supervision of algorithmic trading platforms and high-frequency trading risks in U.S. equity markets.,Hearing
Congressional review of the Department of Justice's enforcement of voting rights protections in recent federal elections.,Hearing
Examination of the role of dark patterns and manipulative design in digital products targeting children and elderly users.,Hearing
Senate inquiry into the management of radioactive waste sites on federal lands and remediation progress.,Hearing
Congressional review of the adequacy of federal regulations governing the export of dual-use technologies to adversarial nations.,Hearing
Examination of the distribution disparities in federal broadband subsidy programs and how to reach last-mile communities.,Hearing
Senate inquiry into the use of predictive analytics by federal benefit agencies in determining eligibility decisions.,Hearing
Congressional review of persistent staffing shortages in the U.S. Forest Service and their impact on wildfire suppression.,Hearing
Examination of federal mental health parity enforcement and whether insurers are complying with required coverage mandates.,Hearing
Senate inquiry into the risks posed by artificial intelligence-generated deepfakes to national security and electoral integrity.,Hearing
Congressional review of the financial and safety review of large passenger cruise ships operating in U.S. waters.,Hearing
Examination of the federal government's slow pace in processing permits for onshore renewable energy projects.,Hearing
Senate inquiry into the rising frequency of train derailments and gaps in federal rail safety regulation.,Hearing
Congressional review of the scrutiny of pharmaceutical compounding facilities and their compliance with federal safety standards.,Hearing
Examination of the challenges that unhoused veterans face in accessing healthcare and transitional housing programs.,Hearing
Senate inquiry into the misuse of facial recognition technology by law enforcement agencies receiving federal grants.,Hearing
Congressional review of the coordination failures exposed during the federal response to recent hurricane disasters.,Hearing
Examination of the adequacy of federal consumer fraud protections in the market for cryptocurrency and digital assets.,Hearing
Senate inquiry into the federal strategy for addressing the long-term health impacts of contaminated military bases.,Hearing
Congressional review of the implementation and effectiveness of the Bipartisan Infrastructure Law's clean water provisions.,Hearing
Examination of the accuracy and accountability measures for automated decision systems used in child welfare agencies.,Hearing
Senate inquiry into contracting abuses and cost overruns in the Federal Bureau of Investigation's technology programs.,Hearing
Congressional review of the structural causes of the shortage of primary care physicians in rural communities.,Hearing
Examination of the sufficiency of federal consumer protections for buyers of new and used electric vehicles.,Hearing
Senate inquiry into the scope of counterfeit goods entering the United States through online retail platforms.,Hearing
Congressional review of the federal programs supporting the economic revitalization of coal-dependent communities.,Hearing
Examination of the adequacy of federal cybersecurity requirements for companies operating water treatment systems.,Hearing
